sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,target,target_names,pl_pw_ratio,sepal_diff,abs_sepal_diff,pw_pl_sum
5.1,3.5,1.4,0.2,0,setosa,6.999999999999999,1.5999999999999996,1.5999999999999996,1.5999999999999999
4.9,3.0,1.4,0.2,0,setosa,6.999999999999999,1.9000000000000004,1.9000000000000004,1.5999999999999999
4.7,3.2,1.3,0.2,0,setosa,6.5,1.5,1.5,1.5
4.6,3.1,1.5,0.2,0,setosa,7.5,1.4999999999999996,1.4999999999999996,1.7
5.0,3.6,1.4,0.2,0,setosa,6.999999999999999,1.4,1.4,1.5999999999999999
5.4,3.9,1.7,0.4,0,setosa,4.25,1.5000000000000004,1.5000000000000004,2.1
4.6,3.4,1.4,0.3,0,setosa,4.666666666666667,1.1999999999999997,1.1999999999999997,1.7
5.0,3.4,1.5,0.2,0,setosa,7.5,1.6,1.6,1.7
4.4,2.9,1.4,0.2,0,setosa,6.999999999999999,1.5000000000000004,1.5000000000000004,1.5999999999999999
4.9,3.1,1.5,0.1,0,setosa,15.0,1.8000000000000003,1.8000000000000003,1.6
5.4,3.7,1.5,0.2,0,setosa,7.5,1.7000000000000002,1.7000000000000002,1.7
4.8,3.4,1.6,0.2,0,setosa,8.0,1.4,1.4,1.8
4.8,3.0,1.4,0.1,0,setosa,13.999999999999998,1.7999999999999998,1.7999999999999998,1.5
4.3,3.0,1.1,0.1,0,setosa,11.0,1.2999999999999998,1.2999999999999998,1.2000000000000002
5.8,4.0,1.2,0.2,0,setosa,5.999999999999999,1.7999999999999998,1.7999999999999998,1.4
5.7,4.4,1.5,0.4,0,setosa,3.75,1.2999999999999998,1.2999999999999998,1.9
5.4,3.9,1.3,0.4,0,setosa,3.25,1.5000000000000004,1.5000000000000004,1.7000000000000002
5.1,3.5,1.4,0.3,0,setosa,4.666666666666667,1.5999999999999996,1.5999999999999996,1.7
5.7,3.8,1.7,0.3,0,setosa,5.666666666666667,1.9000000000000004,1.9000000000000004,2.0
5.1,3.8,1.5,0.3,0,setosa,5.0,1.2999999999999998,1.2999999999999998,1.8
5.4,3.4,1.7,0.2,0,setosa,8.5,2.0000000000000004,2.0000000000000004,1.9
5.1,3.7,1.5,0.4,0,setosa,3.75,1.3999999999999995,1.3999999999999995,1.9
4.6,3.6,1.0,0.2,0,setosa,5.0,0.9999999999999996,0.9999999999999996,1.2
5.1,3.3,1.7,0.5,0,setosa,3.4,1.7999999999999998,1.7999999999999998,2.2
4.8,3.4,1.9,0.2,0,setosa,9.499999999999998,1.4,1.4,2.1
5.0,3.0,1.6,0.2,0,setosa,8.0,2.0,2.0,1.8
5.0,3.4,1.6,0.4,0,setosa,4.0,1.6,1.6,2.0
5.2,3.5,1.5,0.2,0,setosa,7.5,1.7000000000000002,1.7000000000000002,1.7
5.2,3.4,1.4,0.2,0,setosa,6.999999999999999,1.8000000000000003,1.8000000000000003,1.5999999999999999
4.7,3.2,1.6,0.2,0,setosa,8.0,1.5,1.5,1.8
4.8,3.1,1.6,0.2,0,setosa,8.0,1.6999999999999997,1.6999999999999997,1.8
5.4,3.4,1.5,0.4,0,setosa,3.75,2.0000000000000004,2.0000000000000004,1.9
5.2,4.1,1.5,0.1,0,setosa,15.0,1.1000000000000005,1.1000000000000005,1.6
5.5,4.2,1.4,0.2,0,setosa,6.999999999999999,1.2999999999999998,1.2999999999999998,1.5999999999999999
4.9,3.1,1.5,0.2,0,setosa,7.5,1.8000000000000003,1.8000000000000003,1.7
5.0,3.2,1.2,0.2,0,setosa,5.999999999999999,1.7999999999999998,1.7999999999999998,1.4
5.5,3.5,1.3,0.2,0,setosa,6.5,2.0,2.0,1.5
4.9,3.6,1.4,0.1,0,setosa,13.999999999999998,1.3000000000000003,1.3000000000000003,1.5
4.4,3.0,1.3,0.2,0,setosa,6.5,1.4000000000000004,1.4000000000000004,1.5
5.1,3.4,1.5,0.2,0,setosa,7.5,1.6999999999999997,1.6999999999999997,1.7
5.0,3.5,1.3,0.3,0,setosa,4.333333333333334,1.5,1.5,1.6
4.5,2.3,1.3,0.3,0,setosa,4.333333333333334,2.2,2.2,1.6
4.4,3.2,1.3,0.2,0,setosa,6.5,1.2000000000000002,1.2000000000000002,1.5
5.0,3.5,1.6,0.6,0,setosa,2.666666666666667,1.5,1.5,2.2
5.1,3.8,1.9,0.4,0,setosa,4.749999999999999,1.2999999999999998,1.2999999999999998,2.3
4.8,3.0,1.4,0.3,0,setosa,4.666666666666667,1.7999999999999998,1.7999999999999998,1.7
5.1,3.8,1.6,0.2,0,setosa,8.0,1.2999999999999998,1.2999999999999998,1.8
4.6,3.2,1.4,0.2,0,setosa,6.999999999999999,1.3999999999999995,1.3999999999999995,1.5999999999999999
5.3,3.7,1.5,0.2,0,setosa,7.5,1.5999999999999996,1.5999999999999996,1.7
5.0,3.3,1.4,0.2,0,setosa,6.999999999999999,1.7000000000000002,1.7000000000000002,1.5999999999999999
7.0,3.2,4.7,1.4,1,versicolor,3.3571428571428577,3.8,3.8,6.1
6.4,3.2,4.5,1.5,1,versicolor,3.0,3.2,3.2,6.0
6.9,3.1,4.9,1.5,1,versicolor,3.266666666666667,3.8000000000000003,3.8000000000000003,6.4
5.5,2.3,4.0,1.3,1,versicolor,3.0769230769230766,3.2,3.2,5.3
6.5,2.8,4.6,1.5,1,versicolor,3.0666666666666664,3.7,3.7,6.1
5.7,2.8,4.5,1.3,1,versicolor,3.4615384615384612,2.9000000000000004,2.9000000000000004,5.8
6.3,3.3,4.7,1.6,1,versicolor,2.9375,3.0,3.0,6.300000000000001
4.9,2.4,3.3,1.0,1,versicolor,3.3,2.5000000000000004,2.5000000000000004,4.3
6.6,2.9,4.6,1.3,1,versicolor,3.538461538461538,3.6999999999999997,3.6999999999999997,5.8999999999999995
5.2,2.7,3.9,1.4,1,versicolor,2.785714285714286,2.5,2.5,5.3
5.0,2.0,3.5,1.0,1,versicolor,3.5,3.0,3.0,4.5
5.9,3.0,4.2,1.5,1,versicolor,2.8000000000000003,2.9000000000000004,2.9000000000000004,5.7
6.0,2.2,4.0,1.0,1,versicolor,4.0,3.8,3.8,5.0
6.1,2.9,4.7,1.4,1,versicolor,3.3571428571428577,3.1999999999999997,3.1999999999999997,6.1
5.6,2.9,3.6,1.3,1,versicolor,2.769230769230769,2.6999999999999997,2.6999999999999997,4.9
6.7,3.1,4.4,1.4,1,versicolor,3.1428571428571432,3.6,3.6,5.800000000000001
5.6,3.0,4.5,1.5,1,versicolor,3.0,2.5999999999999996,2.5999999999999996,6.0
5.8,2.7,4.1,1.0,1,versicolor,4.1,3.0999999999999996,3.0999999999999996,5.1
6.2,2.2,4.5,1.5,1,versicolor,3.0,4.0,4.0,6.0
5.6,2.5,3.9,1.1,1,versicolor,3.545454545454545,3.0999999999999996,3.0999999999999996,5.0
5.9,3.2,4.8,1.8,1,versicolor,2.6666666666666665,2.7,2.7,6.6
6.1,2.8,4.0,1.3,1,versicolor,3.0769230769230766,3.3,3.3,5.3
6.3,2.5,4.9,1.5,1,versicolor,3.266666666666667,3.8,3.8,6.4
6.1,2.8,4.7,1.2,1,versicolor,3.916666666666667,3.3,3.3,5.9
6.4,2.9,4.3,1.3,1,versicolor,3.3076923076923075,3.5000000000000004,3.5000000000000004,5.6
6.6,3.0,4.4,1.4,1,versicolor,3.1428571428571432,3.5999999999999996,3.5999999999999996,5.800000000000001
6.8,2.8,4.8,1.4,1,versicolor,3.428571428571429,4.0,4.0,6.199999999999999
6.7,3.0,5.0,1.7,1,versicolor,2.9411764705882355,3.7,3.7,6.7
6.0,2.9,4.5,1.5,1,versicolor,3.0,3.1,3.1,6.0
5.7,2.6,3.5,1.0,1,versicolor,3.5,3.1,3.1,4.5
5.5,2.4,3.8,1.1,1,versicolor,3.454545454545454,3.1,3.1,4.9
5.5,2.4,3.7,1.0,1,versicolor,3.7,3.1,3.1,4.7
5.8,2.7,3.9,1.2,1,versicolor,3.25,3.0999999999999996,3.0999999999999996,5.1
6.0,2.7,5.1,1.6,1,versicolor,3.1874999999999996,3.3,3.3,6.699999999999999
5.4,3.0,4.5,1.5,1,versicolor,3.0,2.4000000000000004,2.4000000000000004,6.0
6.0,3.4,4.5,1.6,1,versicolor,2.8125,2.6,2.6,6.1
6.7,3.1,4.7,1.5,1,versicolor,3.1333333333333333,3.6,3.6,6.2
6.3,2.3,4.4,1.3,1,versicolor,3.3846153846153846,4.0,4.0,5.7
5.6,3.0,4.1,1.3,1,versicolor,3.1538461538461533,2.5999999999999996,2.5999999999999996,5.3999999999999995
5.5,2.5,4.0,1.3,1,versicolor,3.0769230769230766,3.0,3.0,5.3
5.5,2.6,4.4,1.2,1,versicolor,3.666666666666667,2.9,2.9,5.6000000000000005
6.1,3.0,4.6,1.4,1,versicolor,3.2857142857142856,3.0999999999999996,3.0999999999999996,6.0
5.8,2.6,4.0,1.2,1,versicolor,3.3333333333333335,3.1999999999999997,3.1999999999999997,5.2
5.0,2.3,3.3,1.0,1,versicolor,3.3,2.7,2.7,4.3
5.6,2.7,4.2,1.3,1,versicolor,3.230769230769231,2.8999999999999995,2.8999999999999995,5.5
5.7,3.0,4.2,1.2,1,versicolor,3.5000000000000004,2.7,2.7,5.4
5.7,2.9,4.2,1.3,1,versicolor,3.230769230769231,2.8000000000000003,2.8000000000000003,5.5
6.2,2.9,4.3,1.3,1,versicolor,3.3076923076923075,3.3000000000000003,3.3000000000000003,5.6
5.1,2.5,3.0,1.1,1,versicolor,2.727272727272727,2.5999999999999996,2.5999999999999996,4.1
5.7,2.8,4.1,1.3,1,versicolor,3.1538461538461533,2.9000000000000004,2.9000000000000004,5.3999999999999995
6.3,3.3,6.0,2.5,2,virginica,2.4,3.0,3.0,8.5
5.8,2.7,5.1,1.9,2,virginica,2.6842105263157894,3.0999999999999996,3.0999999999999996,7.0
7.1,3.0,5.9,2.1,2,virginica,2.8095238095238098,4.1,4.1,8.0
6.3,2.9,5.6,1.8,2,virginica,3.1111111111111107,3.4,3.4,7.3999999999999995
6.5,3.0,5.8,2.2,2,virginica,2.6363636363636362,3.5,3.5,8.0
7.6,3.0,6.6,2.1,2,virginica,3.1428571428571423,4.6,4.6,8.7
4.9,2.5,4.5,1.7,2,virginica,2.6470588235294117,2.4000000000000004,2.4000000000000004,6.2
7.3,2.9,6.3,1.8,2,virginica,3.5,4.4,4.4,8.1
6.7,2.5,5.8,1.8,2,virginica,3.222222222222222,4.2,4.2,7.6
7.2,3.6,6.1,2.5,2,virginica,2.44,3.6,3.6,8.6
6.5,3.2,5.1,2.0,2,virginica,2.55,3.3,3.3,7.1
6.4,2.7,5.3,1.9,2,virginica,2.7894736842105265,3.7,3.7,7.199999999999999
6.8,3.0,5.5,2.1,2,virginica,2.619047619047619,3.8,3.8,7.6
5.7,2.5,5.0,2.0,2,virginica,2.5,3.2,3.2,7.0
5.8,2.8,5.1,2.4,2,virginica,2.125,3.0,3.0,7.5
6.4,3.2,5.3,2.3,2,virginica,2.3043478260869565,3.2,3.2,7.6
6.5,3.0,5.5,1.8,2,virginica,3.0555555555555554,3.5,3.5,7.3
7.7,3.8,6.7,2.2,2,virginica,3.0454545454545454,3.9000000000000004,3.9000000000000004,8.9
7.7,2.6,6.9,2.3,2,virginica,3.0000000000000004,5.1,5.1,9.2
6.0,2.2,5.0,1.5,2,virginica,3.3333333333333335,3.8,3.8,6.5
6.9,3.2,5.7,2.3,2,virginica,2.4782608695652177,3.7,3.7,8.0
5.6,2.8,4.9,2.0,2,virginica,2.45,2.8,2.8,6.9
7.7,2.8,6.7,2.0,2,virginica,3.35,4.9,4.9,8.7
6.3,2.7,4.9,1.8,2,virginica,2.7222222222222223,3.5999999999999996,3.5999999999999996,6.7
6.7,3.3,5.7,2.1,2,virginica,2.7142857142857144,3.4000000000000004,3.4000000000000004,7.800000000000001
7.2,3.2,6.0,1.8,2,virginica,3.333333333333333,4.0,4.0,7.8
6.2,2.8,4.8,1.8,2,virginica,2.6666666666666665,3.4000000000000004,3.4000000000000004,6.6
6.1,3.0,4.9,1.8,2,virginica,2.7222222222222223,3.0999999999999996,3.0999999999999996,6.7
6.4,2.8,5.6,2.1,2,virginica,2.6666666666666665,3.6000000000000005,3.6000000000000005,7.699999999999999
7.2,3.0,5.8,1.6,2,virginica,3.6249999999999996,4.2,4.2,7.4
7.4,2.8,6.1,1.9,2,virginica,3.2105263157894735,4.6000000000000005,4.6000000000000005,8.0
7.9,3.8,6.4,2.0,2,virginica,3.2,4.1000000000000005,4.1000000000000005,8.4
6.4,2.8,5.6,2.2,2,virginica,2.545454545454545,3.6000000000000005,3.6000000000000005,7.8
6.3,2.8,5.1,1.5,2,virginica,3.4,3.5,3.5,6.6
6.1,2.6,5.6,1.4,2,virginica,4.0,3.4999999999999996,3.4999999999999996,7.0
7.7,3.0,6.1,2.3,2,virginica,2.6521739130434785,4.7,4.7,8.399999999999999
6.3,3.4,5.6,2.4,2,virginica,2.3333333333333335,2.9,2.9,8.0
6.4,3.1,5.5,1.8,2,virginica,3.0555555555555554,3.3000000000000003,3.3000000000000003,7.3
6.0,3.0,4.8,1.8,2,virginica,2.6666666666666665,3.0,3.0,6.6
6.9,3.1,5.4,2.1,2,virginica,2.5714285714285716,3.8000000000000003,3.8000000000000003,7.5
6.7,3.1,5.6,2.4,2,virginica,2.3333333333333335,3.6,3.6,8.0
6.9,3.1,5.1,2.3,2,virginica,2.217391304347826,3.8000000000000003,3.8000000000000003,7.3999999999999995
5.8,2.7,5.1,1.9,2,virginica,2.6842105263157894,3.0999999999999996,3.0999999999999996,7.0
6.8,3.2,5.9,2.3,2,virginica,2.565217391304348,3.5999999999999996,3.5999999999999996,8.2
6.7,3.3,5.7,2.5,2,virginica,2.2800000000000002,3.4000000000000004,3.4000000000000004,8.2
6.7,3.0,5.2,2.3,2,virginica,2.2608695652173916,3.7,3.7,7.5
6.3,2.5,5.0,1.9,2,virginica,2.6315789473684212,3.8,3.8,6.9
6.5,3.0,5.2,2.0,2,virginica,2.6,3.5,3.5,7.2
6.2,3.4,5.4,2.3,2,virginica,2.347826086956522,2.8000000000000003,2.8000000000000003,7.7
5.9,3.0,5.1,1.8,2,virginica,2.833333333333333,2.9000000000000004,2.9000000000000004,6.8999999999999995
